256,5,576,5,576,32,256,32,0.99967813
0,439,831,439,831,467,0,467,0.99967647
224,123,608,123,608,152,224,152,0.99967456
352,44,480,44,480,72,352,72,0.99967384
208,282,640,282,640,309,208,309,0.9996692
176,399,656,399,656,427,176,427,0.99966836
32,360,800,360,800,390,32,390,0.9996681
192,163,640,163,640,192,192,192,0.999658
48,321,784,321,784,348,48,348,0.99965763
224,202,592,202,592,232,224,232,0.99965024
288,84,544,84,544,112,288,112,0.9996319
240,239,576,239,576,269,240,269,0.99963117
